,class Names,truncatation,occlusion,alpha,xmin,ymin,xmax,ymax,height,width,length,xloc,yloc,zloc,rotation_y
881,Pedestrian,0.00,0,0.16,487.49,170.79,502.49,214.82,1.72,0.74,0.56,-4.60,1.65,28.64,"0.01
"
909,Pedestrian,0.00,0,-0.31,788.38,141.60,882.72,306.07,1.89,0.48,1.20,2.87,1.45,8.43,"0.01
"
931,Pedestrian,0.00,0,0.14,562.59,158.20,594.85,225.88,1.83,0.69,1.03,-0.77,1.23,19.57,"0.10
"
933,Pedestrian,0.00,2,0.26,402.59,157.37,427.24,234.07,1.80,0.61,1.04,-4.61,1.26,17.02,"0.00
"
935,Pedestrian,0.00,1,0.65,196.36,177.31,229.19,234.95,1.72,0.55,0.93,-11.93,1.63,21.48,"0.15
"
936,Pedestrian,0.00,0,0.64,189.12,181.00,219.25,236.74,1.62,0.48,0.96,-11.93,1.64,20.91,"0.13
"
938,Pedestrian,0.00,0,-2.72,241.89,176.88,270.18,234.71,1.60,0.54,0.84,-9.82,1.51,20.03,"3.12
"
939,Pedestrian,0.00,0,-3.01,210.60,172.77,242.54,244.30,1.80,0.54,1.03,-9.70,1.61,18.32,"2.80
"
940,Pedestrian,0.00,1,-2.78,334.47,162.73,354.71,234.29,1.95,0.56,0.82,-7.16,1.47,19.63,"-3.13
"
999,Pedestrian,0.75,1,-2.28,1199.30,108.54,1241.00,348.03,1.67,0.70,0.44,4.69,1.22,5.12,"-1.57
"
1005,Pedestrian,0.00,0,0.63,656.08,160.85,672.41,199.98,1.90,0.42,1.04,2.54,1.33,35.54,"0.70
"
1006,Pedestrian,0.00,1,0.63,661.72,162.97,676.05,200.69,1.87,0.50,0.90,2.99,1.39,36.22,"0.71
"
1008,Pedestrian,0.00,0,-0.04,605.72,167.06,616.06,191.92,1.78,0.53,0.95,0.06,1.37,52.31,"-0.04
"
1023,Pedestrian,0.00,1,0.44,804.90,153.30,842.23,240.99,1.90,0.42,1.04,4.69,1.48,16.13,"0.72
"
1024,Pedestrian,0.00,1,0.44,803.72,157.65,850.32,239.18,1.87,0.50,0.90,5.08,1.53,17.01,"0.73
"
1026,Pedestrian,0.00,0,-0.36,646.94,170.20,661.27,205.82,1.78,0.53,0.95,2.15,1.66,36.63,"-0.30
"
1028,Pedestrian,0.00,0,1.92,323.88,187.02,345.55,243.90,1.54,0.57,0.41,-7.65,1.94,19.92,"1.56
"
1031,Pedestrian,0.00,0,-1.40,323.27,158.29,339.60,202.04,1.82,0.78,0.94,-11.45,0.89,29.96,"-1.76
"
1032,Pedestrian,0.00,2,-1.33,421.79,163.38,432.46,195.30,1.76,0.69,1.21,-9.79,0.81,39.80,"-1.57
"
1033,Pedestrian,0.00,1,-1.44,324.02,155.94,336.02,189.84,1.93,0.59,0.70,-15.95,0.53,40.79,"-1.81
"
1037,Pedestrian,0.00,1,-1.24,346.05,154.79,357.72,191.06,2.01,0.76,0.84,-14.05,0.58,39.75,"-1.57
"
1038,Pedestrian,0.00,0,-2.10,396.31,166.22,429.98,255.71,1.63,0.55,1.28,-3.61,1.37,13.51,"-2.35
"
1039,Pedestrian,0.00,0,-2.38,501.19,157.16,553.53,255.59,1.85,0.75,1.04,-1.51,1.42,13.93,"-2.49
"
1043,Pedestrian,0.00,0,1.78,297.11,155.81,312.44,195.32,1.89,0.80,0.50,-14.44,0.71,34.28,"1.38
"
1044,Pedestrian,0.00,0,-2.68,221.78,153.26,232.78,197.15,1.90,0.53,0.35,-16.45,0.72,30.93,"3.12
"
1045,Pedestrian,0.00,2,2.62,997.76,173.67,1017.76,210.16,1.80,0.80,0.76,20.19,1.47,35.46,"3.13
"
1061,Pedestrian,0.00,1,2.67,747.50,166.38,761.50,215.20,1.78,0.78,0.65,5.23,1.55,26.75,"2.86
"
1067,Pedestrian,0.00,0,-1.52,415.84,167.57,437.18,241.85,1.82,0.64,0.58,-4.51,1.48,18.02,"-1.76
"
1081,Pedestrian,0.00,2,-1.79,766.65,160.55,790.45,230.70,1.82,0.69,0.68,4.41,1.50,19.09,"-1.57
"
1090,Pedestrian,0.87,0,-0.95,1213.30,130.53,1223.00,226.21,1.72,0.55,0.93,11.57,0.82,12.71,"-0.22
"
1106,Pedestrian,0.99,0,1.08,1217.46,85.94,1223.00,369.00,1.92,0.61,0.50,2.82,1.52,2.71,"1.84
"
1108,Pedestrian,0.00,0,2.03,643.10,162.48,658.43,211.72,1.81,0.58,0.84,1.68,1.15,26.47,"2.10
"
1109,Pedestrian,0.00,0,1.94,626.61,164.55,645.27,213.11,1.77,0.64,0.88,1.13,1.19,26.28,"1.99
"
1110,Pedestrian,0.00,0,0.33,352.66,168.09,381.95,252.38,1.72,0.74,0.56,-5.14,1.63,15.13,"0.01
"
1132,Pedestrian,0.00,0,2.60,804.98,139.87,872.77,319.58,1.81,0.60,0.92,2.47,1.40,7.54,"2.91
"
1228,Pedestrian,0.00,0,-2.05,949.79,151.61,1008.78,268.52,1.71,0.73,0.82,5.50,1.40,10.98,"-1.60
"
1310,Pedestrian,0.00,0,2.56,1018.58,164.46,1053.46,247.56,1.67,0.50,0.61,8.70,1.51,14.83,"3.08
"
1311,Pedestrian,0.00,0,-1.99,928.52,165.81,958.05,237.15,1.69,0.59,0.83,8.07,1.53,17.60,"-1.56
"
1330,Pedestrian,0.00,0,2.06,271.26,180.77,288.93,230.94,1.60,0.51,0.87,-10.77,1.86,23.51,"1.63
"
1379,Pedestrian,0.00,0,1.00,678.54,170.07,697.55,211.49,1.69,0.69,0.83,3.17,1.58,29.95,"1.10
"
1386,Pedestrian,0.00,0,2.06,222.90,178.17,261.57,261.28,1.87,0.96,0.65,-8.49,2.00,16.67,"1.59
"
1395,Pedestrian,0.00,0,1.11,660.51,145.73,706.89,262.13,1.68,0.45,0.75,1.14,1.17,10.61,"1.22
"
1396,Pedestrian,0.00,0,1.43,549.49,129.31,578.58,225.29,1.95,0.63,0.74,-0.83,0.91,14.81,"1.38
"
1397,Pedestrian,0.00,0,1.27,592.18,142.30,623.62,224.85,1.71,0.60,0.52,0.05,0.92,14.98,"1.27
"
1398,Pedestrian,0.00,1,1.22,654.37,147.30,678.72,222.86,1.59,0.46,0.67,1.26,0.89,15.27,"1.30
"
1403,Pedestrian,0.63,3,-2.29,1104.62,128.70,1237.00,373.00,1.61,0.91,0.91,3.78,1.32,4.33,"-1.61
"
1405,Pedestrian,0.00,2,-1.78,772.52,152.22,816.75,255.07,1.65,0.88,0.49,3.04,1.18,11.82,"-1.54
"
1428,Pedestrian,0.00,0,-2.52,70.80,146.96,177.54,330.31,1.82,0.58,1.23,-5.01,1.50,7.36,"-3.10
"
1431,Pedestrian,0.00,2,1.04,818.88,166.74,831.88,203.51,1.74,0.47,0.55,10.31,1.46,34.56,"1.33
"
1432,Pedestrian,0.00,0,1.09,934.02,166.53,979.80,274.08,1.74,0.75,0.64,5.73,1.65,12.08,"1.53
"
1458,Pedestrian,0.00,0,2.80,842.89,161.25,918.31,319.73,1.60,0.57,1.07,2.89,1.41,7.49,"-3.13
"
1462,Pedestrian,0.00,0,2.71,880.69,173.34,929.34,335.38,1.63,0.41,0.33,2.98,1.64,7.50,"3.07
"
1472,Pedestrian,0.00,1,1.61,406.54,173.86,417.90,201.26,1.80,0.68,0.72,-13.17,1.87,47.98,"1.35
"
1473,Pedestrian,0.00,2,1.68,400.89,178.17,408.61,205.64,1.80,0.65,0.67,-13.69,2.16,47.83,"1.41
"
1495,Pedestrian,0.00,0,-2.56,267.85,153.86,311.85,243.67,1.86,0.55,1.16,-6.68,1.32,15.03,"-2.97
"
1496,Pedestrian,0.00,1,-2.58,290.97,155.54,319.64,240.73,1.84,0.56,1.23,-6.47,1.31,15.68,"-2.96
"
1499,Pedestrian,0.00,0,1.40,715.72,177.57,727.18,210.30,1.74,0.75,0.64,5.95,2.00,38.94,"1.55
"
1510,Pedestrian,0.00,0,-1.63,351.81,171.47,376.48,236.70,1.88,0.67,1.18,-7.38,1.85,21.55,"-1.96
"
1512,Pedestrian,0.00,0,2.82,818.22,143.11,904.55,320.12,1.82,0.58,1.23,2.70,1.44,7.63,"-3.13
"
1611,Pedestrian,0.00,0,2.76,838.54,173.35,873.20,308.95,1.63,0.41,0.33,2.99,1.64,8.92,"3.07
"
1657,Pedestrian,0.00,0,-1.76,868.33,164.92,890.59,235.81,1.65,0.50,0.50,6.32,1.47,17.06,"-1.41
"
1815,Pedestrian,0.00,0,2.76,912.75,161.10,984.09,300.34,1.64,0.80,0.99,4.12,1.41,8.92,"-3.11
"
1816,Pedestrian,0.02,0,0.10,295.39,197.81,371.39,373.00,1.48,0.92,0.92,-2.53,1.65,6.62,"-0.26
"
1880,Pedestrian,0.00,0,-1.52,539.47,157.59,583.00,278.91,1.74,0.72,1.06,-0.68,1.41,10.71,"-1.58
"
1894,Pedestrian,0.00,1,2.68,736.96,167.21,752.96,213.24,1.78,0.78,0.65,5.19,1.56,28.36,"2.86
"
1901,Pedestrian,0.00,2,-1.82,783.62,168.50,801.18,211.35,1.70,0.69,0.68,7.28,1.53,29.10,"-1.58
"
1902,Pedestrian,0.00,0,-1.84,803.94,167.82,818.66,210.65,1.70,0.48,0.87,8.01,1.50,29.11,"-1.58
"
1919,Pedestrian,0.00,1,1.61,406.88,170.82,419.54,203.43,1.80,0.68,0.72,-11.06,1.69,40.36,"1.35
"
1920,Pedestrian,0.00,1,1.69,395.49,175.17,407.63,207.89,1.80,0.65,0.67,-11.63,1.94,40.19,"1.41
"
1962,Pedestrian,0.00,0,-2.96,270.30,161.04,290.49,207.77,1.86,0.57,1.08,-13.24,1.39,29.23,"2.90
"
1983,Pedestrian,0.00,0,0.15,389.42,179.08,424.76,303.37,1.87,0.64,0.65,-3.21,1.97,11.22,"-0.13
"
2001,Pedestrian,0.00,0,-0.88,721.57,165.93,740.91,214.20,1.64,0.63,0.86,4.10,1.41,25.02,"-0.72
"
2002,Pedestrian,0.00,2,2.68,961.08,161.42,972.53,206.36,1.81,0.51,0.34,14.45,1.35,29.28,"3.14
"
2003,Pedestrian,0.00,2,2.25,946.42,167.85,952.49,199.76,1.80,0.43,0.20,19.24,1.52,40.94,"2.68
"
2011,Pedestrian,0.00,0,2.92,750.80,158.88,775.67,244.47,1.84,0.72,0.50,3.32,1.55,15.92,"3.12
"
2014,Pedestrian,0.00,1,1.59,1140.13,150.25,1196.95,291.45,1.85,0.65,0.55,7.60,1.56,9.87,"2.23
"
2015,Pedestrian,0.00,0,-0.68,942.18,164.33,976.09,257.97,1.71,0.57,0.51,6.45,1.56,13.54,"-0.24
"
2016,Pedestrian,0.00,0,1.29,915.64,165.00,944.13,248.01,1.69,0.39,0.51,6.58,1.53,14.94,"1.70
"
2017,Pedestrian,0.00,0,-1.18,300.23,168.24,329.35,240.01,1.70,0.45,1.06,-7.30,1.60,17.64,"-1.57
"
2018,Pedestrian,0.00,0,0.28,371.50,167.07,402.27,237.97,1.80,0.70,0.58,-5.82,1.66,18.71,"-0.01
"
2088,Pedestrian,0.00,2,-1.88,828.67,154.74,867.00,261.18,1.82,0.69,0.68,4.10,1.51,12.69,"-1.57
"
2090,Pedestrian,0.00,1,1.75,810.20,160.07,855.05,264.09,1.75,0.94,0.50,3.76,1.54,12.54,"2.03
"
2091,Pedestrian,0.00,0,1.68,742.20,175.22,776.01,251.60,1.54,0.73,0.51,2.98,1.59,14.86,"1.87
"
2094,Pedestrian,0.00,0,2.09,732.33,155.07,794.36,306.25,1.74,0.62,1.04,1.94,1.44,8.71,"2.30
"
2098,Pedestrian,0.00,0,-1.42,464.50,153.54,539.83,362.15,1.74,0.72,1.06,-0.96,1.52,6.44,"-1.56
"
2107,Pedestrian,0.00,0,1.91,418.88,175.06,430.55,205.14,1.60,0.51,0.87,-10.06,1.72,38.91,"1.66
"
2112,Pedestrian,0.00,0,0.51,105.70,146.73,217.36,330.32,1.82,0.66,0.94,-4.62,1.49,7.40,"-0.02
"
2139,Pedestrian,0.00,0,2.78,867.20,134.29,914.20,296.71,2.01,0.47,0.98,3.61,1.44,9.03,"-3.14
"
2161,Pedestrian,0.00,0,-1.08,915.80,170.65,947.28,243.56,1.64,0.63,0.86,7.36,1.59,16.74,"-0.68
"
2162,Pedestrian,0.00,1,1.92,984.48,176.32,1009.63,232.48,1.49,0.55,0.78,10.43,1.59,19.65,"2.40
"
2163,Pedestrian,0.00,2,2.49,1154.82,161.01,1175.94,231.95,1.81,0.51,0.34,14.27,1.51,18.64,"3.13
"
2164,Pedestrian,0.00,0,2.28,1059.64,171.85,1072.39,215.37,1.80,0.43,0.20,18.97,1.76,30.09,"2.84
"
2193,Pedestrian,0.00,0,-3.10,592.76,168.75,607.76,193.64,1.80,0.68,1.44,-0.51,0.95,51.97,"-3.11
"
2194,Pedestrian,0.00,1,0.26,461.65,171.58,473.99,198.78,1.92,0.57,1.32,-9.78,1.29,50.54,"0.07
"
2222,Pedestrian,0.00,2,-1.30,409.76,166.78,430.54,251.50,1.83,0.60,0.39,-4.26,1.71,15.85,"-1.56
"
2223,Pedestrian,0.00,2,-1.33,426.31,169.41,437.95,239.10,1.81,0.34,0.32,-4.70,1.73,18.98,"-1.57
"
2226,Pedestrian,0.00,2,-1.34,429.10,170.43,444.47,241.50,1.78,0.40,0.43,-4.38,1.73,18.35,"-1.57
"
2232,Pedestrian,0.00,1,-2.23,602.38,182.22,615.38,219.98,1.68,0.50,0.42,-0.13,2.11,32.50,"-2.24
"
2263,Pedestrian,0.00,2,-1.83,793.50,157.13,823.45,244.26,1.82,0.69,0.68,4.19,1.49,15.43,"-1.57
"
2267,Pedestrian,0.00,1,1.42,315.87,175.41,331.54,224.89,1.96,0.69,0.50,-11.29,1.76,28.44,"1.05
"
2268,Pedestrian,0.00,1,-1.94,334.73,179.46,351.40,222.24,1.65,0.58,0.80,-10.52,1.62,27.90,"-2.30
"
2270,Pedestrian,0.00,1,2.85,466.95,177.08,482.95,222.79,1.85,0.74,0.82,-5.11,1.71,29.22,"2.68
"
2271,Pedestrian,0.00,1,2.70,456.74,181.39,475.08,219.98,1.61,0.73,0.84,-5.96,1.66,30.29,"2.51
"
2272,Pedestrian,0.00,1,-0.10,699.55,179.62,712.88,219.24,1.77,0.73,0.70,4.55,1.74,32.13,"0.04
"
2273,Pedestrian,0.00,2,3.02,720.07,187.86,743.07,227.98,1.76,0.77,0.87,5.66,2.10,31.79,"-3.09
"
2311,Pedestrian,0.00,0,-3.12,544.68,162.36,655.46,328.52,1.68,0.54,1.10,-0.09,1.50,7.45,"-3.13
"
2325,Pedestrian,0.00,0,2.84,782.39,142.64,865.72,301.09,1.87,0.54,1.02,2.64,1.43,8.67,"3.13
"
2339,Pedestrian,0.00,1,-1.96,898.58,162.38,932.62,254.68,1.60,0.51,0.43,5.36,1.42,12.75,"-1.57
"
2349,Pedestrian,0.00,1,1.43,721.63,169.13,737.30,212.21,1.64,0.56,0.78,4.49,1.50,27.94,"1.58
"
2358,Pedestrian,0.00,0,-1.67,745.44,168.11,800.45,312.45,1.76,0.76,1.02,2.10,1.60,9.31,"-1.46
"
2359,Pedestrian,0.00,0,2.93,378.43,169.50,421.15,289.56,1.78,0.82,0.80,-3.26,1.61,11.24,"2.65
"
2360,Pedestrian,0.00,1,1.68,299.57,172.07,336.61,287.44,1.75,0.71,0.89,-4.58,1.60,11.42,"1.30
"
2361,Pedestrian,0.00,0,1.15,926.30,163.36,971.20,287.13,1.67,0.78,0.95,4.74,1.43,10.19,"1.57
"
2362,Pedestrian,0.00,0,1.32,868.32,162.09,921.35,283.63,1.74,0.72,0.77,4.29,1.46,10.69,"1.69
"
2363,Pedestrian,0.00,0,-1.71,651.34,167.77,678.87,242.39,1.89,0.96,0.95,1.48,1.54,18.75,"-1.64
"
2364,Pedestrian,0.00,2,-1.70,749.26,175.87,807.14,302.09,1.68,0.64,0.91,2.42,1.61,10.06,"-1.48
"
2365,Pedestrian,0.00,1,-1.72,715.25,177.02,751.80,286.24,1.71,0.68,0.93,2.11,1.64,11.72,"-1.55
"
2366,Pedestrian,0.00,1,-1.68,694.00,176.56,730.25,274.14,1.71,0.80,0.94,1.93,1.63,13.14,"-1.54
"
2367,Pedestrian,0.00,2,-1.76,764.02,166.48,817.68,262.28,1.80,0.83,0.92,3.64,1.52,14.00,"-1.52
"
2368,Pedestrian,0.00,2,-1.84,792.34,165.24,821.68,243.81,1.83,0.78,0.94,4.90,1.45,17.28,"-1.57
"
2388,Pedestrian,0.00,0,-1.85,783.35,160.83,847.33,363.62,1.73,0.84,0.86,1.86,1.56,6.59,"-1.60
"
2389,Pedestrian,0.00,0,-1.97,873.74,148.51,972.01,363.01,1.81,0.90,0.95,2.82,1.53,6.56,"-1.59
"
2390,Pedestrian,0.00,0,-1.45,207.75,163.51,279.62,351.47,1.78,0.92,1.01,-3.77,1.61,7.42,"-1.91
"
2391,Pedestrian,0.00,0,-2.91,552.07,162.70,590.96,261.25,1.79,0.86,1.02,-0.77,1.45,13.57,"-2.97
"
2392,Pedestrian,0.00,0,-1.85,725.98,160.19,755.81,238.67,1.75,0.78,0.84,2.99,1.27,16.48,"-1.67
"
2393,Pedestrian,0.00,1,3.00,1002.39,152.63,1061.97,273.62,1.71,0.71,1.03,6.21,1.30,10.65,"-2.77
"
2394,Pedestrian,0.00,1,2.69,1149.40,139.14,1214.56,266.37,1.77,0.85,1.15,8.19,1.18,10.51,"-2.95
"
2395,Pedestrian,0.00,2,1.95,959.80,150.99,997.67,249.56,1.73,0.69,0.56,6.66,1.19,13.05,"2.41
"
2396,Pedestrian,0.00,2,1.82,513.68,172.69,534.53,228.33,1.69,0.68,1.11,-2.54,1.42,22.43,"1.70
"
2398,Pedestrian,0.00,1,1.80,494.35,169.93,515.37,226.38,1.75,0.68,1.10,-3.23,1.39,22.82,"1.66
"
2404,Pedestrian,0.00,0,-2.78,297.02,158.60,363.69,300.97,1.75,0.46,0.97,-3.50,1.49,8.98,"-3.14
"
2422,Pedestrian,0.00,0,0.93,1055.62,149.77,1189.03,312.99,1.69,0.80,0.88,5.56,1.46,7.95,"1.52
"
2441,Pedestrian,0.00,0,-1.33,238.55,159.27,285.88,299.17,1.82,0.64,0.58,-4.63,1.53,9.73,"-1.77
"
2442,Pedestrian,0.00,2,2.04,229.92,158.26,287.45,287.00,1.82,0.56,0.51,-4.99,1.49,10.41,"1.60
"
2444,Pedestrian,0.00,0,-1.48,349.68,175.39,405.91,303.67,1.58,0.67,0.87,-3.09,1.62,9.42,"-1.79
"
2445,Pedestrian,0.23,0,0.96,1060.72,121.83,1241.00,374.00,1.92,0.64,1.08,3.96,1.59,5.32,"1.57
"
2446,Pedestrian,0.69,0,0.81,1157.58,134.43,1241.00,374.00,1.83,0.77,1.01,4.82,1.55,5.36,"1.52
"
2447,Pedestrian,0.42,0,1.94,6.77,161.04,229.28,374.00,1.63,0.64,0.92,-2.52,1.58,3.73,"1.38
"
2500,Pedestrian,0.00,2,-1.73,722.95,167.93,739.56,215.24,1.82,0.69,0.68,4.66,1.63,28.15,"-1.57
"
2628,Pedestrian,0.00,1,1.78,790.13,170.67,829.30,260.32,1.75,0.94,0.50,3.91,1.71,14.48,"2.03
"
2629,Pedestrian,0.00,0,1.71,733.59,180.70,763.87,245.47,1.54,0.73,0.51,3.30,1.73,17.49,"1.89
"
2634,Pedestrian,0.00,0,0.16,375.40,157.84,482.74,329.46,1.67,0.51,1.29,-1.83,1.45,7.24,"-0.08
"
2639,Pedestrian,0.00,1,-3.02,575.59,172.75,590.83,199.40,1.80,0.68,1.44,-1.28,1.28,48.53,"-3.05
"
2640,Pedestrian,0.00,1,0.28,455.65,174.92,470.37,204.12,1.92,0.57,1.32,-9.38,1.56,47.06,"0.09
"
2650,Pedestrian,0.00,1,2.63,945.88,153.78,1030.55,314.71,1.71,0.56,0.89,4.25,1.43,7.87,"3.11
"
2686,Pedestrian,0.00,2,-2.07,1002.17,138.79,1059.84,332.39,1.82,0.69,0.68,4.02,1.50,7.13,"-1.57
"
2737,Pedestrian,0.00,0,1.05,998.19,163.15,1034.53,250.28,1.77,0.57,0.89,8.44,1.58,15.11,"1.55
"
2742,Pedestrian,0.00,2,-0.02,529.11,173.91,541.44,218.47,1.87,0.64,0.65,-3.18,1.92,30.66,"-0.13
"
2747,Pedestrian,0.00,0,-1.48,574.94,157.06,613.27,278.91,1.74,0.55,0.58,-0.17,1.41,10.40,"-1.49
"
2758,Pedestrian,0.00,0,-0.10,743.45,148.20,810.11,271.45,1.83,0.69,1.03,2.51,1.36,10.90,"0.12
"
